week,market_data,cash,shares_held,portfolio_value,last_profit
155,"{'Close': 89845.8515625, 'High': 91433.0390625, 'Low': 88741.6640625, 'Open': 90558.4609375, 'Volume': 46350159305.0, 'Rsi_14': 73.55786685077828, 'Sma_10': 85976.07578125001, 'Sma_50': 70356.972578125, 'Roc_5': 2.1488506657817528, 'Bbl_20_2.0': 60954.511138023096, 'Bbm_20_2.0': 78563.1921875, 'Bbu_20_2.0': 96171.8732369769, 'Bbb_20_2.0': 44.826796262177794, 'Bbp_20_2.0': 0.8203720750946073, 'Macd_12_26_9': 6139.462307851121, 'Macdh_12_26_9': 1210.7025999349326, 'Macds_12_26_9': 4928.759707916189, 'Price_vs_sma10': 0.04500991404976321, 'Sma10_vs_sma50': 0.22199794321424812, 'Bb_position': 0.3004136183693315}",61901.70308205602,1.5512924578095593,201278.89497643948,-1105.4897877465119
156,"{'Close': 90542.640625, 'High': 92596.7890625, 'Low': 89393.59375, 'Open': 89843.71875, 'Volume': 75535775084.0, 'Rsi_14': 74.28566478453158, 'Sma_10': 87375.79218750002, 'Sma_50': 70855.11929687501, 'Roc_5': -0.04583962100853548, 'Bbl_20_2.0': 61295.349823687684, 'Bbm_20_2.0': 79454.299609375, 'Bbu_20_2.0': 97613.2493950623, 'Bbb_20_2.0': 45.70916835202885, 'Bbp_20_2.0': 0.8053133894440503, 'Macd_12_26_9': 6150.465924059419, 'Macdh_12_26_9': 977.3649729145836, 'Macds_12_26_9': 5173.100951144836, 'Price_vs_sma10': 0.03624400258030544, 'Sma10_vs_sma50': 0.2331613164238033, 'Bb_position': 0.29962419018490094}",131590.29902924775,0.7756462289047796,201819.3567851097,540.4618086702249
157,"{'Close': 92343.7890625, 'High': 94002.8671875, 'Low': 90426.984375, 'Open': 90536.8125, 'Volume': 74521048295.0, 'Rsi_14': 76.11570103781403, 'Sma_10': 88932.284375, 'Sma_50': 71435.40507812501, 'Roc_5': 5.837632425699909, 'Bbl_20_2.0': 61750.10203504951, 'Bbm_20_2.0': 80454.512109375, 'Bbu_20_2.0': 99158.9221837005, 'Bbb_20_2.0': 46.496857873918934, 'Bbp_20_2.0': 0.8178201532654789, 'Macd_12_26_9': 6232.677567965526, 'Macdh_12_26_9': 847.6612934565519, 'Macds_12_26_9': 5385.016274508974, 'Price_vs_sma10': 0.03836070007056981, 'Sma10_vs_sma50': 0.24493287715999662, 'Bb_position': 0.3085318633332161}",131590.29902924775,0.7756462289047796,203216.41077835433,1397.0539932446263
158,"{'Close': 94339.4921875, 'High': 94902.0234375, 'Low': 91619.5, 'Open': 92341.890625, 'Volume': 71730956426.0, 'Rsi_14': 77.98521993057028, 'Sma_10': 90318.81484375, 'Sma_50': 72105.45476562499, 'Roc_5': 3.5946281753559766, 'Bbl_20_2.0': 62628.00847076145, 'Bbm_20_2.0': 81660.72734375001, 'Bbu_20_2.0': 100693.44621673858, 'Bbb_20_2.0': 46.61413017513431, 'Bbp_20_2.0': 0.8330781305697691, 'Macd_12_26_9': 6385.262124382381, 'Macdh_12_26_9': 800.196679898726, 'Macds_12_26_9': 5585.0654444836555, 'Price_vs_sma10': 0.04451649803759822, 'Sma10_vs_sma50': 0.25259337365427603, 'Bb_position': 0.314930960337586}",131590.29902924775,0.7756462289047796,204764.37038127403,1547.9596029196982
159,"{'Close': 98504.7265625, 'High': 99014.21875, 'Low': 94132.6015625, 'Open': 94334.640625, 'Volume': 106024505582.0, 'Rsi_14': 81.2788709837307, 'Sma_10': 91299.1390625, 'Sma_50': 72862.89359374999, 'Roc_5': 8.77471695818094, 'Bbl_20_2.0': 63569.94679357635, 'Bbm_20_2.0': 83111.840234375, 'Bbu_20_2.0': 102653.73367517366, 'Bbb_20_2.0': 47.02553423360764, 'Bbp_20_2.0': 0.8938432674079689, 'Macd_12_26_9': 6764.311318163309, 'Macdh_12_26_9': 943.3966989437222, 'Macds_12_26_9': 5820.914619219587, 'Price_vs_sma10': 0.0789228417046443, 'Sma10_vs_sma50': 0.25302653462463415, 'Bb_position': 0.3403166988496247}",92113.20932047343,1.1941039584663666,209738.09323640174,4973.722855127708
160,"{'Close': 98997.6640625, 'High': 99655.5, 'Low': 97222.6640625, 'Open': 98496.4296875, 'Volume': 78473580551.0, 'Rsi_14': 81.62916223776259, 'Sma_10': 92403.32421875, 'Sma_50': 73627.65882812499, 'Roc_5': 10.186126950595677, 'Bbl_20_2.0': 64963.11539997821, 'Bbm_20_2.0': 84597.25976562501, 'Bbu_20_2.0': 104231.40413127182, 'Bbb_20_2.0': 46.41792043865913, 'Bbp_20_2.0': 0.8667184071965693, 'Macd_12_26_9': 7023.523662941385, 'Macdh_12_26_9': 962.0872349774381, 'Macds_12_26_9': 6061.436427963947, 'Price_vs_sma10': 0.07136474688009017, 'Sma10_vs_sma50': 0.25500831738320745, 'Bb_position': 0.3265287361921918}",92113.20932047343,1.1941039584663666,210326.71185642824,588.6186200265074
161,"{'Close': 97777.28125, 'High': 99014.6796875, 'Low': 97232.890625, 'Open': 99006.7421875, 'Volume': 44414644677.0, 'Rsi_14': 77.75043709944944, 'Sma_10': 93122.63593749999, 'Sma_50': 74341.854921875, 'Roc_5': 7.990313265728216, 'Bbl_20_2.0': 67068.39088965012, 'Bbm_20_2.0': 86049.06796875001, 'Bbu_20_2.0': 105029.7450478499, 'Bbb_20_2.0': 44.11593879434696, 'Bbp_20_2.0': 0.8089513938932197, 'Macd_12_26_9': 7049.217627078717, 'Macdh_12_26_9': 790.224959291816, 'Macds_12_26_9': 6258.992667786901, 'Price_vs_sma10': 0.049984037346451564, 'Sma10_vs_sma50': 0.2526272856032648, 'Bb_position': 0.2923827944775015}",138169.81398071014,0.7288747523392414,209437.20563620824,-889.5062202200061
162,"{'Close': 98013.8203125, 'High': 98647.1796875, 'Low': 95788.078125, 'Open': 97778.09375, 'Volume': 51712020623.0, 'Rsi_14': 77.9689466380332, 'Sma_10': 94198.975, 'Sma_50': 75060.33234375, 'Roc_5': 6.1401327664413, 'Bbl_20_2.0': 69930.24983796915, 'Bbm_20_2.0': 87559.18359375001, 'Bbu_20_2.0': 105188.11734953088, 'Bbb_20_2.0': 40.26746945831326, 'Bbp_20_2.0': 0.7965192581576782, 'Macd_12_26_9': 7007.884474313629, 'Macdh_12_26_9': 599.1134452213819, 'Macds_12_26_9': 6408.771029092247, 'Price_vs_sma10': 0.0404977369711294, 'Sma10_vs_sma50': 0.2549767907848015, 'Bb_position': 0.26698424862203407}",110535.8511845681,1.0114962615780456,209676.46401364417,239.2583774359373
163,"{'Close': 93102.296875, 'High': 98935.03125, 'Low': 92642.9140625, 'Open': 98033.4453125, 'Volume': 80909462490.0, 'Rsi_14': 63.92954594371683, 'Sma_10': 94402.60390625, 'Sma_50': 75665.99921875, 'Roc_5': -1.3114288447101994, 'Bbl_20_2.0': 73203.40366146581, 'Bbm_20_2.0': 88746.3203125, 'Bbu_20_2.0': 104289.23696353419, 'Bbb_20_2.0': 35.0277433392243, 'Bbp_20_2.0': 0.6401273860080232, 'Macd_12_26_9': 6503.836579277573, 'Macdh_12_26_9': 76.05244014826076, 'Macds_12_26_9': 6427.784139129312, 'Price_vs_sma10': -0.013774058950125187, 'Sma10_vs_sma50': 0.24762251051932294, 'Bb_position': 0.19080485957042762}",165806.5670985647,0.44758888874250524,207478.12069622078,-2198.343317423394
164,"{'Close': 91985.3203125, 'High': 94991.75, 'Low': 90770.8125, 'Open': 93087.28125, 'Volume': 91656519855.0, 'Rsi_14': 61.229327408114926, 'Sma_10': 94545.28828125, 'Sma_50': 76260.972421875, 'Roc_5': -6.618368963100993, 'Bbl_20_2.0': 75252.45116822561, 'Bbm_20_2.0': 89563.63242187501, 'Bbu_20_2.0': 103874.8136755244, 'Bbb_20_2.0': 31.957572212433035, 'Bbp_20_2.0': 0.5846082460875637, 'Macd_12_26_9': 5945.705920582346, 'Macdh_12_26_9': -385.66257483757363, 'Macds_12_26_9': 6331.36849541992, 'Price_vs_sma10': -0.02707663190083783, 'Sma10_vs_sma50': 0.23975980476915937, 'Bb_position': 0.16108687517402578}",33161.31341971294,1.8723147884369296,205386.7889599146,-2091.331736306194
